comm_area,comm_name,side,drug_2007,drug_2017,drug_percent change,pot_2007,pot_2017,pot_percent_change
1,ROGERS PARK,North,869,63,0.93,516,30,0.94
2,WEST RIDGE,North,380,50,0.87,233,21,0.91
3,UPTOWN,North,1024,68,0.93,472,19,0.96
4,LINCOLN SQUARE,North,134,32,0.76,88,9,0.90
5,NORTH CENTER,North,105,19,0.82,67,12,0.82
6,LAKE VIEW,North,310,39,0.87,198,9,0.95
7,LINCOLN PARK,North,146,30,0.79,98,8,0.92
8,NEAR NORTH SIDE,Central,880,137,0.84,238,15,0.94
9,EDISON PARK,Northwest,6,2,0.67,3,1,0.67
10,NORWOOD PARK,Northwest,39,17,0.56,20,5,0.75
11,JEFFERSON PARK,Northwest,60,22,0.63,41,4,0.90
12,FOREST GLEN,Northwest,32,6,0.81,21,2,0.90
13,NORTH PARK,Northwest,90,17,0.81,51,3,0.94
14,ALBANY PARK,Northwest,267,27,0.90,175,8,0.95
15,PORTAGE PARK,Northwest,392,76,0.81,247,25,0.90
16,IRVING PARK,Northwest,238,29,0.88,154,6,0.96
17,DUNNING,Northwest,112,21,0.81,82,5,0.94
18,MONTCLARE,Northwest,25,10,0.60,12,4,0.67
19,BELMONT CRAGIN,Northwest,537,118,0.78,284,27,0.90
20,HERMOSA,Northwest,270,29,0.89,178,10,0.94
21,AVONDALE,Nothwest,231,22,0.90,135,5,0.96
22,LOGAN SQUARE,Northwest,648,59,0.91,334,11,0.97
23,HUMBOLDT PARK,West,3024,1146,0.62,952,136,0.86
24,WEST TOWN,West,797,76,0.90,439,16,0.96
25,AUSTIN,West,7694,1452,0.81,2754,516,0.81
26,WEST GARFIELD PARK,West,2413,985,0.59,505,103,0.80
27,EAST GARFIELD PARK,West,2030,642,0.68,510,122,0.76
28,NEAR WEST SIDE,West,886,157,0.82,269,33,0.88
29,NORTH LAWNDALE,West,2586,1593,0.38,774,367,0.53
30,SOUTH LAWNDALE,West,852,176,0.79,479,69,0.86
31,LOWER WEST SIDE,West,345,39,0.89,244,14,0.94
32,LOOP,Central,237,74,0.69,146,21,0.86
33,NEAR SOUTH SIDE,Central,319,16,0.95,69,5,0.93
34,ARMOUR SQUARE,South,100,9,0.91,37,1,0.97
35,DOUGLAS,South,1516,51,0.97,176,14,0.92
36,OAKLAND,South,150,0,1.00,38,0,1.00
37,FULLER PARK,South,234,32,0.86,132,12,0.91
38,GRAND BOULEVARD,South,513,126,0.75,204,32,0.84
39,KENWOOD,South,153,8,0.95,101,2,0.98
40,WASHINGTON PARK,South,371,46,0.88,203,21,0.90
41,HYDE PARK,South,77,7,0.91,42,3,0.93
42,WOODLAWN,South,1067,117,0.89,666,36,0.95
43,SOUTH SHORE,South,1380,235,0.83,872,107,0.88
44,CHATHAM,Far South,1363,177,0.87,940,106,0.89
45,AVALON PARK,Far South,175,14,0.92,121,5,0.96
46,SOUTH CHICAGO,Far South,973,162,0.83,633,65,0.90
47,BURNSIDE,Far South,88,19,0.78,62,13,0.79
48,CALUMET HEIGHTS,Far South,231,30,0.87,147,6,0.96
49,ROSELAND,Far South,1797,291,0.84,997,95,0.90
50,PULLMAN,Far South,102,33,0.68,60,13,0.78
51,SOUTH DEERING,Far South,215,51,0.76,145,6,0.96
52,EAST SIDE,Far South,194,38,0.80,143,13,0.91
53,WEST PULLMAN,Far South,1067,140,0.87,704,39,0.94
54,RIVERDALE,Far South,121,39,0.68,72,12,0.83
55,HEGEWISCH,Far South,65,6,0.91,38,1,0.97
56,GARFIELD RIDGE,Southwest,218,55,0.75,109,14,0.87
57,ARCHER HEIGHTS,Southwest,78,18,0.77,45,9,0.80
58,BRIGHTON PARK,Southwest,358,98,0.73,231,26,0.89
59,MCKINLEY PARK,Southwest,133,64,0.52,97,11,0.89
60,BRIDGEPORT,South,143,34,0.76,90,8,0.91
61,NEW CITY,South,1462,228,0.84,887,47,0.95
62,WEST ELSDON,Southwest,124,17,0.86,85,8,0.91
63,GAGE PARK,Southwest,501,76,0.85,226,28,0.88
64,CLEARING,Southwest,136,25,0.82,82,10,0.88
65,WEST LAWN,Southwest,167,51,0.69,108,19,0.82
66,CHICAGO LAWN,Southwest,1474,220,0.85,852,91,0.89
67,WEST ENGLEWOOD,South,1864,496,0.73,1043,151,0.86
68,ENGLEWOOD,South,1671,311,0.81,902,142,0.84
69,GREATER GRAND CROSSING,South,1561,213,0.86,1060,106,0.90
70,ASHBURN,Southwest,196,29,0.85,127,14,0.89
71,AUBURN GRESHAM,Far South,1922,344,0.82,1278,149,0.88
72,BEVERLY,Southwest,44,10,0.77,27,7,0.74
73,WASHINGTON HEIGHTS,Far South,588,61,0.90,346,29,0.92
74,MOUNT GREENWOOD,Southwest,25,4,0.84,17,0,1.00
75,MORGAN PARK,Southwest,297,32,0.89,241,13,0.95
76,OHARE,Northwest,76,119,-0.57,29,33,-0.14
77,EDGEWATER,North,277,32,0.88,143,10,0.93
