ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10802016,JA101122,01/02/2017 12:20:00 AM,036XX S WOOD ST,2022,NARCOTICS,POSS: COCAINE,STREET,true,false,0912,009,11,59,18,1164947,1880582,2017,02/14/2017 03:49:42 PM,41.827921244,-87.670333375,"(41.827921244, -87.670333375)"
10802017,JA101135,01/02/2017 01:16:00 AM,040XX W WILCOX ST,2024,NARCOTICS,POSS: HEROIN(WHITE),RESIDENTIAL YARD (FRONT/BACK),true,false,1115,011,28,26,18,1149530,1899031,2017,02/14/2017 03:49:42 PM,41.878860159,-87.726418662,"(41.878860159, -87.726418662)"
10802775,JA102085,01/02/2017 08:14:00 PM,048XX W VAN BUREN ST,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,true,false,1533,015,24,25,18,1144346,1897578,2017,02/14/2017 03:49:42 PM,41.874971966,-87.745490072,"(41.874971966, -87.745490072)"
10805159,JA104047,01/04/2017 01:29:00 PM,006XX N CENTRAL PARK AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,true,false,1121,011,27,23,18,1152269,1904026,2017,02/14/2017 03:49:42 PM,41.892513366,-87.716229613,"(41.892513366, -87.716229613)"
10806470,JA105316,01/05/2017 04:00:00 PM,080XX S CRANDON AVE,2090,NARCOTICS,ALTER/FORGE PRESCRIPTION,HOSPITAL BUILDING/GROUNDS,true,false,0414,004,8,46,18,1192921,1852169,2017,02/14/2017 03:49:42 PM,41.749315877,-87.568628671,"(41.749315877, -87.568628671)"
10816493,JA116426,01/14/2017 06:15:00 PM,118XX S LAFAYETTE AVE,2017,NARCOTICS,MANU/DELIVER:CRACK,RESIDENCE,true,false,0522,005,34,53,18,1178041,1826494,2017,02/14/2017 03:49:42 PM,41.679210196,-87.62392954,"(41.679210196, -87.62392954)"
10821738,JA122537,01/20/2017 03:30:00 AM,002XX E SUPERIOR ST,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,HOSPITAL BUILDING/GROUNDS,true,false,1834,018,42,8,18,1177976,1905413,2017,02/14/2017 03:49:42 PM,41.895773204,-87.621776719,"(41.895773204, -87.621776719)"
10827431,JA128898,01/25/2017 12:14:00 AM,024XX N CICERO AVE,2022,NARCOTICS,POSS: COCAINE,STREET,true,false,2521,025,31,19,18,1143985,1916029,2017,02/14/2017 03:49:42 PM,41.925610353,-87.746352014,"(41.925610353, -87.746352014)"
10801452,JA100398,01/01/2017 07:00:00 AM,116XX S AVENUE N,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,VEHICLE NON-COMMERCIAL,true,false,0433,004,10,55,18,1201263,1828338,2017,02/14/2017 03:49:42 PM,41.6837142,-87.5388668,"(41.6837142, -87.5388668)"
10801456,JA100413,01/01/2017 09:30:00 AM,025XX S MICHIGAN AVE,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,PARKING LOT/GARAGE(NON.RESID.),true,false,0133,001,2,33,18,1177647,1887564,2017,02/14/2017 03:49:42 PM,41.846801978,-87.623527134,"(41.846801978, -87.623527134)"
