ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10508593,HZ250410,05/03/2016 09:00:00 PM,042XX W MADISON ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,1115,011,28,26,18,1148220,1899677,2016,05/10/2016 03:56:50 PM,41.880658176,-87.731212135,"(41.880658176, -87.731212135)"
10508640,HZ250462,05/03/2016 10:07:00 PM,035XX W ROOSEVELT RD,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,1133,011,24,29,18,1153056,1894484,2016,05/10/2016 03:56:50 PM,41.866313546,-87.713592319,"(41.866313546, -87.713592319)"
10509515,HZ251054,05/04/2016 12:50:00 PM,004XX W 97TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,2223,022,21,73,18,1174958,1840580,2016,05/11/2016 03:50:55 PM,41.717933377,-87.634796373,"(41.717933377, -87.634796373)"
10508668,HZ250525,05/04/2016 12:15:00 AM,033XX W FLOURNOY ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,1134,011,24,27,18,1154249,1896836,2016,05/11/2016 03:50:55 PM,41.87274397,-87.709149899,"(41.87274397, -87.709149899)"
10508673,HZ250533,05/04/2016 12:14:00 AM,032XX W 47TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,0821,008,14,58,18,1155749,1873296,2016,05/11/2016 03:50:55 PM,41.808117346,-87.704275674,"(41.808117346, -87.704275674)"
10509099,HZ250779,05/04/2016 09:03:00 AM,003XX N CENTRAL AVE,1821,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,SIDEWALK,true,false,1523,015,28,25,18,1138983,1901704,2016,05/11/2016 03:50:55 PM,41.886393351,-87.765080772,"(41.886393351, -87.765080772)"
10509106,HZ250804,05/04/2016 09:40:00 AM,055XX W CORCORAN PL,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,1523,015,28,25,18,1139214,1902011,2016,05/11/2016 03:50:55 PM,41.887231597,-87.764224994,"(41.887231597, -87.764224994)"
10509244,HZ250892,05/04/2016 10:45:00 AM,056XX W CHICAGO AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,1511,015,29,25,18,1138436,1904775,2016,05/11/2016 03:50:55 PM,41.894830486,-87.767015087,"(41.894830486, -87.767015087)"
10509261,HZ250820,05/04/2016 09:52:00 AM,045XX N BROADWAY,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,true,false,1913,019,46,3,18,1168225,1930362,2016,05/11/2016 03:50:55 PM,41.964450845,-87.656866766,"(41.964450845, -87.656866766)"
10509297,HZ250914,05/04/2016 10:58:00 AM,083XX S COMMERCIAL AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,0424,004,10,46,18,1197636,1850405,2016,05/11/2016 03:50:55 PM,41.74435904,-87.551410154,"(41.74435904, -87.551410154)"
